class name;;Method name;;number of detected pattern;;parameter;;number of occurrences;;occurrenceType;;unitOnwhichOccurrenceIsDetected;;commentFragment
org.jhotdraw.draw.AbstractAttributedCompositeFigure;;setAttributes;;1
*;; * ;; * ;;r1;;1
*;;*;;*;;*;;*;;InvokeExpr for param;;$r4 = virtualinvoke r1.<java.util.HashMap: java.util.Set entrySet()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
org.jhotdraw.draw.AbstractAttributedCompositeFigure;;getAttribute;;1
*;; * ;; * ;;r1;;1
*;;*;;*;;*;;*;;InvokeExpr for param;;$r3 = virtualinvoke r1.<org.jhotdraw.draw.AttributeKey: java.lang.Object getDefaultValue()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
org.jhotdraw.draw.AbstractAttributedCompositeFigure;;drawFigure;;1
*;; * ;; * ;;r1;;7
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.awt.Graphics2D: void setColor(java.awt.Color)>($r7);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.awt.Graphics2D: void setStroke(java.awt.Stroke)>($r13);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.awt.Graphics2D: void setColor(java.awt.Color)>($r16);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.awt.Graphics2D: void translate(double,double)>($d1, $d2);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.awt.Graphics2D: void setColor(java.awt.Color)>($r27);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.awt.Graphics2D: void translate(double,double)>($d4, $d6);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.awt.Graphics2D: void setColor(java.awt.Color)>($r30);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
org.jhotdraw.draw.AbstractAttributedCompositeFigure;;writeAttributes;;1
*;; * ;; * ;;r1;;6
*;;*;;*;;*;;*;;InvokeExpr for param;;$r8 = interfaceinvoke r1.<org.jhotdraw.xml.DOMOutput: java.lang.Object getPrototype()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;interfaceinvoke r1.<org.jhotdraw.xml.DOMOutput: void openElement(java.lang.String)>("a");;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;interfaceinvoke r1.<org.jhotdraw.xml.DOMOutput: void openElement(java.lang.String)>($r15);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;interfaceinvoke r1.<org.jhotdraw.xml.DOMOutput: void writeObject(java.lang.Object)>($r16);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;interfaceinvoke r1.<org.jhotdraw.xml.DOMOutput: void closeElement()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;interfaceinvoke r1.<org.jhotdraw.xml.DOMOutput: void closeElement()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
org.jhotdraw.draw.AbstractAttributedCompositeFigure;;readAttributes;;1
*;; * ;; * ;;r1;;8
*;;*;;*;;*;;*;;InvokeExpr for param;;$i1 = interfaceinvoke r1.<org.jhotdraw.xml.DOMInput: int getElementCount(java.lang.String)>("a");;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;interfaceinvoke r1.<org.jhotdraw.xml.DOMInput: void openElement(java.lang.String)>("a");;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;$i2 = interfaceinvoke r1.<org.jhotdraw.xml.DOMInput: int getElementCount()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;interfaceinvoke r1.<org.jhotdraw.xml.DOMInput: void openElement(int)>(i0);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;r2 = interfaceinvoke r1.<org.jhotdraw.xml.DOMInput: java.lang.String getTagName()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;r3 = interfaceinvoke r1.<org.jhotdraw.xml.DOMInput: java.lang.Object readObject()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;interfaceinvoke r1.<org.jhotdraw.xml.DOMInput: void closeElement()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;interfaceinvoke r1.<org.jhotdraw.xml.DOMInput: void closeElement()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
org.jhotdraw.draw.AbstractAttributedCompositeFigure;;applyAttributesTo;;1
*;; * ;; * ;;r1;;1
*;;*;;*;;*;;*;;InvokeExpr for param;;interfaceinvoke r1.<org.jhotdraw.draw.Figure: void setAttribute(org.jhotdraw.draw.AttributeKey,java.lang.Object)>($r8, $r9);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
org.jhotdraw.draw.AbstractAttributedCompositeFigure;;removeAttribute;;1
*;; * ;; * ;;r1;;1
*;;*;;*;;*;;*;;InvokeExpr for param;;$r5 = virtualinvoke r1.<org.jhotdraw.draw.AttributeKey: java.lang.Object getDefaultValue()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
org.jhotdraw.draw.AbstractCompositeFigure;;add;;1
*;; * ;; * ;;r1;;1
*;;*;;*;;*;;*;;InvokeExpr for param;;interfaceinvoke r1.<org.jhotdraw.draw.Figure: void addNotify(org.jhotdraw.draw.Drawing)>($r3);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
org.jhotdraw.draw.AbstractCompositeFigure;;addAll;;1
*;; * ;; * ;;r1;;1
*;;*;;*;;*;;*;;InvokeExpr for param;;r2 = interfaceinvoke r1.<java.util.Collection: java.util.Iterator iterator()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
org.jhotdraw.draw.AbstractCompositeFigure;;basicAdd;;1
*;; * ;; * ;;r1;;2
*;;*;;*;;*;;*;;InvokeExpr for param;;interfaceinvoke r1.<org.jhotdraw.draw.Figure: void addFigureListener(org.jhotdraw.draw.FigureListener)>($r3);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;interfaceinvoke r1.<org.jhotdraw.draw.Figure: void addUndoableEditListener(javax.swing.event.UndoableEditListener)>($r4);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
org.jhotdraw.draw.AbstractCompositeFigure;;basicAddAll;;1
*;; * ;; * ;;r1;;1
*;;*;;*;;*;;*;;InvokeExpr for param;;r2 = interfaceinvoke r1.<java.util.Collection: java.util.Iterator iterator()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
org.jhotdraw.draw.AbstractCompositeFigure;;remove;;1
*;; * ;; * ;;r1;;1
*;;*;;*;;*;;*;;InvokeExpr for param;;interfaceinvoke r1.<org.jhotdraw.draw.Figure: void removeNotify(org.jhotdraw.draw.Drawing)>($r5);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
org.jhotdraw.draw.AbstractCompositeFigure;;sendToBack;;1
*;; * ;; * ;;r1;;1
*;;*;;*;;*;;*;;InvokeExpr for param;;interfaceinvoke r1.<org.jhotdraw.draw.Figure: void invalidate()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
org.jhotdraw.draw.AbstractCompositeFigure;;sendToFront;;1
*;; * ;; * ;;r1;;1
*;;*;;*;;*;;*;;InvokeExpr for param;;interfaceinvoke r1.<org.jhotdraw.draw.Figure: void invalidate()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
org.jhotdraw.draw.AbstractCompositeFigure;;basicSetBounds;;2
*;; * ;; * ;;r1;;4
*;;*;;*;;*;;*;;FieldRef for param;;$d2 = r1.<java.awt.geom.Point2D$Double: double x>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d5 = r1.<java.awt.geom.Point2D$Double: double y>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d8 = r1.<java.awt.geom.Point2D$Double: double x>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d12 = r1.<java.awt.geom.Point2D$Double: double y>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;; * ;; * ;;r2;;4
*;;*;;*;;*;;*;;FieldRef for param;;$d3 = r2.<java.awt.geom.Point2D$Double: double x>;;pattern detected param  r2 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d6 = r2.<java.awt.geom.Point2D$Double: double y>;;pattern detected param  r2 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d9 = r2.<java.awt.geom.Point2D$Double: double x>;;pattern detected param  r2 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d13 = r2.<java.awt.geom.Point2D$Double: double y>;;pattern detected param  r2 must not be null  because used in  FieldRef 
org.jhotdraw.draw.AbstractCompositeFigure;;undoableEditHappened;;1
*;; * ;; * ;;r1;;1
*;;*;;*;;*;;*;;InvokeExpr for param;;$r2 = virtualinvoke r1.<javax.swing.event.UndoableEditEvent: javax.swing.undo.UndoableEdit getEdit()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
org.jhotdraw.draw.AbstractCompositeFigure;;read;;1
*;; * ;; * ;;r1;;4
*;;*;;*;;*;;*;;InvokeExpr for param;;interfaceinvoke r1.<org.jhotdraw.xml.DOMInput: void openElement(java.lang.String)>("children");;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;$r2 = interfaceinvoke r1.<org.jhotdraw.xml.DOMInput: java.lang.Object readObject(int)>(i0);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;$i1 = interfaceinvoke r1.<org.jhotdraw.xml.DOMInput: int getElementCount()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;interfaceinvoke r1.<org.jhotdraw.xml.DOMInput: void closeElement()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
org.jhotdraw.draw.AbstractCompositeFigure;;write;;1
*;; * ;; * ;;r1;;3
*;;*;;*;;*;;*;;InvokeExpr for param;;interfaceinvoke r1.<org.jhotdraw.xml.DOMOutput: void openElement(java.lang.String)>("children");;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;interfaceinvoke r1.<org.jhotdraw.xml.DOMOutput: void writeObject(java.lang.Object)>(r3);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;interfaceinvoke r1.<org.jhotdraw.xml.DOMOutput: void closeElement()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
org.jhotdraw.draw.AbstractCompositeFigure;;restoreTo;;1
*;; * ;; * ;;r1;;1
*;;*;;*;;*;;*;;InvokeExpr for local initialized from param;;r3 = virtualinvoke r2.<java.util.LinkedList: java.util.Iterator iterator()>();;pattern detected param  r1 must not be null it define a local r2which used in  InvokeExpr 
org.jhotdraw.draw.AttributeKey;;get;;1
*;; * ;; * ;;r1;;1
*;;*;;*;;*;;*;;InvokeExpr for param;;r2 = interfaceinvoke r1.<org.jhotdraw.draw.Figure: java.lang.Object getAttribute(org.jhotdraw.draw.AttributeKey)>(r0);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
org.jhotdraw.draw.AttributeKey;;set;;1
*;; * ;; * ;;r1;;1
*;;*;;*;;*;;*;;InvokeExpr for param;;interfaceinvoke r1.<org.jhotdraw.draw.Figure: void setAttribute(org.jhotdraw.draw.AttributeKey,java.lang.Object)>(r0, r2);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
org.jhotdraw.draw.AttributeKey;;basicSet;;1
*;; * ;; * ;;r1;;1
*;;*;;*;;*;;*;;InvokeExpr for param;;interfaceinvoke r1.<org.jhotdraw.draw.Figure: void basicSetAttribute(org.jhotdraw.draw.AttributeKey,java.lang.Object)>(r0, r2);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
org.jhotdraw.draw.AttributeKey;;equals;;1
*;; * ;; * ;;r1;;1
*;;*;;*;;*;;*;;FieldRef for local initialized from param;;$r3 = r2.<org.jhotdraw.draw.AttributeKey: java.lang.String key>;;pattern detected param  r1 must not be null it define a local r2which used in  FieldRef 
org.jhotdraw.draw.AbstractFigure;;setBounds;;1
*;; * ;; * ;;r1;;6
*;;*;;*;;*;;*;;FieldRef for param;;$d0 = r1.<java.awt.geom.Rectangle2D$Double: double x>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d1 = r1.<java.awt.geom.Rectangle2D$Double: double y>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d2 = r1.<java.awt.geom.Rectangle2D$Double: double x>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d3 = r1.<java.awt.geom.Rectangle2D$Double: double width>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d5 = r1.<java.awt.geom.Rectangle2D$Double: double y>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d6 = r1.<java.awt.geom.Rectangle2D$Double: double height>;;pattern detected param  r1 must not be null  because used in  FieldRef 
org.jhotdraw.geom.Dimension2DDouble;;<init>;;1
*;; * ;; * ;;r1;;2
*;;*;;*;;*;;*;;FieldRef for param;;$d0 = r1.<org.jhotdraw.geom.Dimension2DDouble: double width>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d1 = r1.<org.jhotdraw.geom.Dimension2DDouble: double height>;;pattern detected param  r1 must not be null  because used in  FieldRef 
org.jhotdraw.geom.Dimension2DDouble;;setSize;;1
*;; * ;; * ;;r1;;2
*;;*;;*;;*;;*;;FieldRef for param;;$d0 = r1.<org.jhotdraw.geom.Dimension2DDouble: double width>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d1 = r1.<org.jhotdraw.geom.Dimension2DDouble: double height>;;pattern detected param  r1 must not be null  because used in  FieldRef 
org.jhotdraw.geom.Dimension2DDouble;;equals;;1
*;; * ;; * ;;r1;;2
*;;*;;*;;*;;*;;FieldRef for local initialized from param;;$d1 = r2.<org.jhotdraw.geom.Dimension2DDouble: double width>;;pattern detected param  r1 must not be null it define a local r2which used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for local initialized from param;;$d3 = r2.<org.jhotdraw.geom.Dimension2DDouble: double height>;;pattern detected param  r1 must not be null it define a local r2which used in  FieldRef 
org.jhotdraw.geom.Geom;;outcode;;2
*;; * ;; * ;;r0;;6
*;;*;;*;;*;;*;;FieldRef for param;;$i2 = r0.<java.awt.Rectangle: int x>;;pattern detected param  r0 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$i3 = r0.<java.awt.Rectangle: int width>;;pattern detected param  r0 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$i8 = r0.<java.awt.Rectangle: int x>;;pattern detected param  r0 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$i10 = r0.<java.awt.Rectangle: int y>;;pattern detected param  r0 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$i11 = r0.<java.awt.Rectangle: int height>;;pattern detected param  r0 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$i16 = r0.<java.awt.Rectangle: int y>;;pattern detected param  r0 must not be null  because used in  FieldRef 
*;; * ;; * ;;r1;;6
*;;*;;*;;*;;*;;FieldRef for param;;$i1 = r1.<java.awt.Rectangle: int x>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$i5 = r1.<java.awt.Rectangle: int x>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$i6 = r1.<java.awt.Rectangle: int width>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$i9 = r1.<java.awt.Rectangle: int y>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$i13 = r1.<java.awt.Rectangle: int y>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$i14 = r1.<java.awt.Rectangle: int height>;;pattern detected param  r1 must not be null  because used in  FieldRef 
org.jhotdraw.geom.Geom;;outcode;;2
*;; * ;; * ;;r0;;6
*;;*;;*;;*;;*;;FieldRef for param;;$d1 = r0.<java.awt.geom.Rectangle2D$Double: double x>;;pattern detected param  r0 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d2 = r0.<java.awt.geom.Rectangle2D$Double: double width>;;pattern detected param  r0 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d7 = r0.<java.awt.geom.Rectangle2D$Double: double x>;;pattern detected param  r0 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d9 = r0.<java.awt.geom.Rectangle2D$Double: double y>;;pattern detected param  r0 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d10 = r0.<java.awt.geom.Rectangle2D$Double: double height>;;pattern detected param  r0 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d15 = r0.<java.awt.geom.Rectangle2D$Double: double y>;;pattern detected param  r0 must not be null  because used in  FieldRef 
*;; * ;; * ;;r1;;6
*;;*;;*;;*;;*;;FieldRef for param;;$d0 = r1.<java.awt.geom.Rectangle2D$Double: double x>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d4 = r1.<java.awt.geom.Rectangle2D$Double: double x>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d5 = r1.<java.awt.geom.Rectangle2D$Double: double width>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d8 = r1.<java.awt.geom.Rectangle2D$Double: double y>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d12 = r1.<java.awt.geom.Rectangle2D$Double: double y>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d13 = r1.<java.awt.geom.Rectangle2D$Double: double height>;;pattern detected param  r1 must not be null  because used in  FieldRef 
org.jhotdraw.geom.Geom;;south;;1
*;; * ;; * ;;r0;;4
*;;*;;*;;*;;*;;FieldRef for param;;$i0 = r0.<java.awt.Rectangle: int x>;;pattern detected param  r0 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$i1 = r0.<java.awt.Rectangle: int width>;;pattern detected param  r0 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$i4 = r0.<java.awt.Rectangle: int y>;;pattern detected param  r0 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$i5 = r0.<java.awt.Rectangle: int height>;;pattern detected param  r0 must not be null  because used in  FieldRef 
org.jhotdraw.geom.Geom;;south;;1
*;; * ;; * ;;r0;;4
*;;*;;*;;*;;*;;FieldRef for param;;$d0 = r0.<java.awt.geom.Rectangle2D$Double: double x>;;pattern detected param  r0 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d1 = r0.<java.awt.geom.Rectangle2D$Double: double width>;;pattern detected param  r0 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d4 = r0.<java.awt.geom.Rectangle2D$Double: double y>;;pattern detected param  r0 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d5 = r0.<java.awt.geom.Rectangle2D$Double: double height>;;pattern detected param  r0 must not be null  because used in  FieldRef 
org.jhotdraw.geom.Geom;;center;;1
*;; * ;; * ;;r0;;4
*;;*;;*;;*;;*;;FieldRef for param;;$i0 = r0.<java.awt.Rectangle: int x>;;pattern detected param  r0 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$i1 = r0.<java.awt.Rectangle: int width>;;pattern detected param  r0 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$i4 = r0.<java.awt.Rectangle: int y>;;pattern detected param  r0 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$i5 = r0.<java.awt.Rectangle: int height>;;pattern detected param  r0 must not be null  because used in  FieldRef 
org.jhotdraw.geom.Geom;;center;;1
*;; * ;; * ;;r0;;4
*;;*;;*;;*;;*;;FieldRef for param;;$d0 = r0.<java.awt.geom.Rectangle2D$Double: double x>;;pattern detected param  r0 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d1 = r0.<java.awt.geom.Rectangle2D$Double: double width>;;pattern detected param  r0 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d4 = r0.<java.awt.geom.Rectangle2D$Double: double y>;;pattern detected param  r0 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d5 = r0.<java.awt.geom.Rectangle2D$Double: double height>;;pattern detected param  r0 must not be null  because used in  FieldRef 
org.jhotdraw.geom.Geom;;chop;;2
*;; * ;; * ;;r0;;3
*;;*;;*;;*;;*;;InvokeExpr for param;;r2 = interfaceinvoke r0.<java.awt.Shape: java.awt.geom.Rectangle2D getBounds2D()>();;pattern detected param  r0 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;r4 = interfaceinvoke r0.<java.awt.Shape: java.awt.geom.PathIterator getPathIterator(java.awt.geom.AffineTransform,double)>($r8, 1.0);;pattern detected param  r0 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;r10 = interfaceinvoke r0.<java.awt.Shape: java.awt.geom.PathIterator getPathIterator(java.awt.geom.AffineTransform,double)>($r9, 1.0);;pattern detected param  r0 must not be null  because used in  InvokeExpr 
*;; * ;; * ;;r1;;4
*;;*;;*;;*;;*;;FieldRef for param;;$d12 = r1.<java.awt.geom.Point2D$Double: double x>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d13 = r1.<java.awt.geom.Point2D$Double: double y>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d18 = r1.<java.awt.geom.Point2D$Double: double x>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d19 = r1.<java.awt.geom.Point2D$Double: double y>;;pattern detected param  r1 must not be null  because used in  FieldRef 
org.jhotdraw.geom.Geom;;west;;1
*;; * ;; * ;;r0;;3
*;;*;;*;;*;;*;;FieldRef for param;;$i0 = r0.<java.awt.Rectangle: int x>;;pattern detected param  r0 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$i1 = r0.<java.awt.Rectangle: int y>;;pattern detected param  r0 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$i2 = r0.<java.awt.Rectangle: int height>;;pattern detected param  r0 must not be null  because used in  FieldRef 
org.jhotdraw.geom.Geom;;west;;1
*;; * ;; * ;;r0;;3
*;;*;;*;;*;;*;;FieldRef for param;;$d0 = r0.<java.awt.geom.Rectangle2D$Double: double x>;;pattern detected param  r0 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d1 = r0.<java.awt.geom.Rectangle2D$Double: double y>;;pattern detected param  r0 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d2 = r0.<java.awt.geom.Rectangle2D$Double: double height>;;pattern detected param  r0 must not be null  because used in  FieldRef 
org.jhotdraw.geom.Geom;;east;;1
*;; * ;; * ;;r0;;4
*;;*;;*;;*;;*;;FieldRef for param;;$i0 = r0.<java.awt.Rectangle: int x>;;pattern detected param  r0 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$i1 = r0.<java.awt.Rectangle: int width>;;pattern detected param  r0 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$i3 = r0.<java.awt.Rectangle: int y>;;pattern detected param  r0 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$i4 = r0.<java.awt.Rectangle: int height>;;pattern detected param  r0 must not be null  because used in  FieldRef 
org.jhotdraw.geom.Geom;;east;;1
*;; * ;; * ;;r0;;4
*;;*;;*;;*;;*;;FieldRef for param;;$d0 = r0.<java.awt.geom.Rectangle2D$Double: double x>;;pattern detected param  r0 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d1 = r0.<java.awt.geom.Rectangle2D$Double: double width>;;pattern detected param  r0 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d3 = r0.<java.awt.geom.Rectangle2D$Double: double y>;;pattern detected param  r0 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d4 = r0.<java.awt.geom.Rectangle2D$Double: double height>;;pattern detected param  r0 must not be null  because used in  FieldRef 
org.jhotdraw.geom.Geom;;north;;1
*;; * ;; * ;;r0;;3
*;;*;;*;;*;;*;;FieldRef for param;;$i0 = r0.<java.awt.Rectangle: int x>;;pattern detected param  r0 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$i1 = r0.<java.awt.Rectangle: int width>;;pattern detected param  r0 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$i4 = r0.<java.awt.Rectangle: int y>;;pattern detected param  r0 must not be null  because used in  FieldRef 
org.jhotdraw.geom.Geom;;north;;1
*;; * ;; * ;;r0;;3
*;;*;;*;;*;;*;;FieldRef for param;;$d0 = r0.<java.awt.geom.Rectangle2D$Double: double x>;;pattern detected param  r0 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d1 = r0.<java.awt.geom.Rectangle2D$Double: double width>;;pattern detected param  r0 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;FieldRef for param;;$d4 = r0.<java.awt.geom.Rectangle2D$Double: double y>;;pattern detected param  r0 must not be null  because used in  FieldRef 
org.jhotdraw.geom.Geom;;length;;2
*;; * ;; * ;;r0;;2
*;;*;;*;;*;;*;;FieldRef for param;;$d0 = r0.<java.awt.geom.Point2D$Double: double x>;;pattern detected param  r0 must not be null  because used in  FieldRef 
